Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
colorgin-arte-urbana-400ml,,,,,,,,CANELA 952,colorgin-arte-urbana-400ml-952,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CARAMELO 931,colorgin-arte-urbana-400ml-931,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CHOCOLATE 980,colorgin-arte-urbana-400ml-980,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CINZA CARRARA 933,colorgin-arte-urbana-400ml-933,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CINZA CHUMBO 985,colorgin-arte-urbana-400ml-985,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CINZA CLARO 934,colorgin-arte-urbana-400ml-934,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CINZA LONDRES 935,colorgin-arte-urbana-400ml-935,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,CINZA NEBLINA 979,colorgin-arte-urbana-400ml-979,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ELDORADO 972,colorgin-arte-urbana-400ml-972,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,FRAMBOESA 956,colorgin-arte-urbana-400ml-956,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,FUMÊ 946,colorgin-arte-urbana-400ml-946,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ITAIPU 981,colorgin-arte-urbana-400ml-981,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,LARANJA 900,colorgin-arte-urbana-400ml-900,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
