Handle,Title,Body HTML,Published
brasileiro,Brasileiro,<p>Coleção Brasileiro — Boleiro Store.</p>,TRUE
europa,Europa,<p>Coleção Europa — Boleiro Store.</p>,TRUE
selecoes,Seleções,<p>Coleção Seleções — Boleiro Store.</p>,TRUE
sul-americanos,Sul Americanos,<p>Coleção Sul Americanos — Boleiro Store.</p>,TRUE
nba,NBA,<p>Coleção NBA — Boleiro Store.</p>,TRUE
retro,Retrô,<p>Coleção Retrô — Boleiro Store.</p>,TRUE
kit-infantil,Kit Infantil,<p>Coleção Kit Infantil — Boleiro Store.</p>,TRUE
treino,Treino,<p>Coleção Treino — Boleiro Store.</p>,TRUE
corta-vento,Corta-Vento,<p>Coleção Corta-Vento — Boleiro Store.</p>,TRUE
